frame_num,detection_result
112,"{0:((66,778),(36,33)),1:((102,250),(35,34)),2:((428,434),(45,42))}"
113,"{0:((65,770),(36,34)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((140,279),(32,32))}"
114,"{0:((65,763),(36,34)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((138,280),(32,32))}"
115,"{0:((63,758),(35,34)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((137,281),(32,32))}"
116,"{0:((61,750),(36,34)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((136,280),(32,32))}"
117,"{0:((59,745),(36,33)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((135,282),(32,32))}"
118,"{0:((59,740),(35,34)),1:((102,250),(35,34)),2:((428,435),(45,41))}"
119,"{0:((56,732),(36,33)),1:((102,250),(35,34)),2:((428,435),(45,41))}"
120,"{0:((55,726),(36,34)),2:((428,434),(45,42)),5:((263,417),(40,36))}"
121,"{0:((56,722),(36,35)),2:((428,433),(45,42)),5:((263,430),(39,37))}"
122,"{0:((55,714),(36,33)),2:((428,435),(45,41)),5:((262,447),(38,36))}"
123,"{0:((53,709),(34,33)),2:((428,435),(45,41)),4:((162,279),(39,35)),5:((263,462),(38,36))}"
124,"{2:((429,435),(45,41)),4:((163,279),(37,37)),5:((263,477),(39,36))}"
125,"{0:((51,700),(35,35)),2:((428,434),(45,42)),4:((163,279),(38,38)),5:((263,493),(38,36))}"
126,"{4:((163,284),(39,35)),5:((263,508),(38,36))}"
127,"{0:((49,686),(35,33)),5:((263,523),(39,36))}"
128,"{0:((48,678),(34,36)),5:((263,538),(38,36))}"
129,"{0:((50,677),(33,36)),5:((263,553),(38,36))}"
130,"{5:((264,568),(38,36))}"
131,"{5:((264,582),(40,37))}"
132,"{0:((51,664),(35,33)),5:((264,598),(38,36))}"
133,"{5:((264,614),(38,36))}"
134,"{5:((264,628),(38,36))}"
135,"{5:((264,642),(38,36))}"
136,"{5:((264,658),(38,36))}"
137,"{0:((54,641),(35,32)),5:((264,672),(38,36))}"
138,"{0:((57,635),(34,33)),5:((263,687),(39,36))}"
139,"{0:((55,630),(34,33)),5:((264,701),(38,36))}"
140,"{0:((58,626),(34,34)),5:((264,717),(39,35))}"
141,"{5:((264,730),(39,36))}"
142,"{0:((58,618),(36,32)),5:((264,745),(40,36))}"
143,"{5:((264,760),(39,36))}"
144,"{0:((59,609),(35,34)),5:((264,774),(38,36))}"
145,"{0:((60,606),(36,33)),5:((264,789),(38,37))}"
146,"{0:((60,602),(35,33)),5:((264,803),(38,36))}"
147,"{0:((60,599),(35,33)),5:((264,816),(40,37))}"
148,"{0:((60,596),(36,32)),5:((265,831),(39,36))}"
149,"{0:((60,589),(36,33)),5:((264,845),(39,37))}"
150,"{0:((62,588),(34,32)),5:((264,860),(39,36))}"
151,"{0:((63,584),(35,33)),5:((264,873),(39,36))}"
152,"{0:((65,579),(34,33)),5:((264,887),(38,37))}"
153,"{0:((64,576),(37,33)),5:((264,902),(39,36))}"
154,"{0:((66,570),(34,34)),5:((264,915),(38,36))}"
155,"{0:((63,568),(36,35)),5:((265,929),(40,36))}"
156,"{0:((67,564),(36,34)),5:((265,943),(39,36))}"
157,"{0:((66,557),(39,39)),5:((265,957),(38,36))}"
158,"{0:((66,555),(38,36)),5:((265,971),(38,36))}"
159,"{0:((68,554),(35,34)),5:((265,984),(40,37))}"
160,"{0:((67,549),(36,33)),5:((265,998),(39,36))}"
161,"{0:((69,546),(36,34)),5:((266,1011),(39,38))}"
162,"{0:((69,543),(36,34)),5:((266,1025),(39,36))}"
163,"{0:((69,539),(36,34)),5:((266,1038),(41,37))}"
164,"{0:((68,537),(37,33)),5:((266,1052),(39,36))}"
165,"{0:((69,532),(37,35)),5:((266,1066),(40,37))}"
166,"{0:((71,530),(35,34)),5:((266,1079),(38,37))}"
167,"{0:((71,526),(38,36)),5:((266,1092),(38,36))}"
168,"{0:((71,524),(36,34)),5:((265,1104),(42,37))}"
169,"{0:((72,521),(38,36)),5:((267,1119),(39,36))}"
170,"{0:((71,519),(37,34)),5:((267,1132),(42,36))}"
171,"{0:((73,515),(35,34)),5:((266,1144),(41,37))}"
172,"{0:((72,512),(36,33)),5:((266,1157),(42,38))}"
173,"{0:((72,511),(36,32)),5:((268,1170),(40,37))}"
174,"{0:((75,506),(36,34)),5:((267,1184),(41,37))}"
175,"{0:((75,504),(35,34)),5:((268,1196),(40,36))}"
176,"{0:((75,500),(38,36)),5:((268,1208),(39,36))}"
177,"{0:((74,499),(36,33)),5:((267,1221),(42,37))}"
178,"{0:((76,495),(36,34)),5:((267,1234),(41,37))}"
179,"{0:((76,492),(35,34)),5:((268,1248),(42,36))}"
